"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5192","verifyUserCanAddNewAddress","Flipkart Test","2025-10-03","broken","2025-10-03","TestClasses.AddNewAddress","Firefox Test","TestClasses.AddNewAddress","verifyUserCanAddNewAddress"
"","5303","verifyUserCanSearchProduct","Flipkart Test","2025-10-03","broken","2025-10-03","TestClasses.SearchProductTest","Firefox Test","TestClasses.SearchProductTest","verifyUserCanSearchProduct"
"","6623","verifyUserCanSearchProduct","Flipkart Test","2025-10-03","passed","2025-10-03","TestClasses.SearchProductTest","Chrome Test","TestClasses.SearchProductTest","verifyUserCanSearchProduct"
"","24927","VerifyUserCanLogin","Flipkart Test","2025-10-03","broken","2025-10-03","TestClasses.LoginTest","Firefox Test","TestClasses.LoginTest","VerifyUserCanLogin"
"","24906","VerifyUserCanLogin","Flipkart Test","2025-10-03","broken","2025-10-03","TestClasses.SearchProductTest","Firefox Test","TestClasses.SearchProductTest","VerifyUserCanLogin"
"","23860","VerifyUserCanLogin","Flipkart Test","2025-10-03","passed","2025-10-03","TestClasses.SearchProductTest","Chrome Test","TestClasses.SearchProductTest","VerifyUserCanLogin"
"","27305","VerifyUserCanLogin","Flipkart Test","2025-10-03","broken","2025-10-03","TestClasses.AddNewAddress","Firefox Test","TestClasses.AddNewAddress","VerifyUserCanLogin"
"","22277","VerifyUserCanLogin","Flipkart Test","2025-10-03","passed","2025-10-03","TestClasses.AddNewAddress","Chrome Test","TestClasses.AddNewAddress","VerifyUserCanLogin"
"","5985","verifyUserCanAddNewAddress","Flipkart Test","2025-10-03","passed","2025-10-03","TestClasses.AddNewAddress","Chrome Test","TestClasses.AddNewAddress","verifyUserCanAddNewAddress"
"","18857","VerifyUserCanLogin","Flipkart Test","2025-10-03","passed","2025-10-03","TestClasses.LoginTest","Chrome Test","TestClasses.LoginTest","VerifyUserCanLogin"
